NAME                           READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s1-fill-245-7659c95b6c-4wk66   1/1     Running   0          7s    10.244.0.8     ip-172-31-1-245    <none>           <none>
s1-fill-245-7659c95b6c-vz82k   1/1     Running   0          7s    10.244.0.7     ip-172-31-1-245    <none>           <none>
s1-fill-198-6f65649bd4-6r2nb   1/1     Running   0          6s    10.244.5.163   ip-172-31-16-198   <none>           <none>
s1-fill-198-6f65649bd4-qkdgk   1/1     Running   0          6s    10.244.5.162   ip-172-31-16-198   <none>           <none>
s1-fill-34-65d8fd768c-f7t9j    1/1     Running   0          5s    10.244.7.156   ip-172-31-19-34    <none>           <none>
s1-fill-34-65d8fd768c-vfg9d    1/1     Running   0          5s    10.244.7.157   ip-172-31-19-34    <none>           <none>
s1-fill-39-7d47c6f544-gdcs2    1/1     Running   0          4s    10.244.1.103   ip-172-31-3-39     <none>           <none>
s1-fill-39-7d47c6f544-strtp    1/1     Running   0          4s    10.244.1.104   ip-172-31-3-39     <none>           <none>
s1-fill-146-f9dd78d6c-58p8l    1/1     Running   0          3s    10.244.4.162   ip-172-31-31-146   <none>           <none>
s1-fill-146-f9dd78d6c-d89dq    1/1     Running   0          3s    10.244.4.161   ip-172-31-31-146   <none>           <none>
s1-fill-144-75b6ddcffc-d8cdc   1/1     Running   0          1s    10.244.2.73    ip-172-31-6-144    <none>           <none>
s1-fill-144-75b6ddcffc-xfftv   1/1     Running   0          1s    10.244.2.72    ip-172-31-6-144    <none>           <none>
