NAME                          READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s2-cpu-245-846fcd67f4-62lm7   1/1     Running   0          11s   10.244.0.134   ip-172-31-1-245    <none>           <none>
s2-cpu-245-846fcd67f4-8pf85   1/1     Running   0          11s   10.244.0.135   ip-172-31-1-245    <none>           <none>
s2-cpu-198-7f87654f6f-5zvl5   1/1     Running   0          9s    10.244.5.56    ip-172-31-16-198   <none>           <none>
s2-cpu-198-7f87654f6f-fk24n   1/1     Running   0          9s    10.244.5.55    ip-172-31-16-198   <none>           <none>
s2-cpu-34-6694c57846-dg9xj    1/1     Running   0          8s    10.244.7.65    ip-172-31-19-34    <none>           <none>
s2-cpu-34-6694c57846-tbjdj    1/1     Running   0          8s    10.244.7.64    ip-172-31-19-34    <none>           <none>
s2-mem-39-6c9ff4fc6d-jm6kv    1/1     Running   0          7s    10.244.1.10    ip-172-31-3-39     <none>           <none>
s2-mem-39-6c9ff4fc6d-n6tzz    1/1     Running   0          7s    10.244.1.11    ip-172-31-3-39     <none>           <none>
s2-mem-146-7ff7c4f86f-f6jqh   1/1     Running   0          5s    10.244.4.54    ip-172-31-31-146   <none>           <none>
s2-mem-146-7ff7c4f86f-tjczm   1/1     Running   0          5s    10.244.4.53    ip-172-31-31-146   <none>           <none>
s2-mem-144-769fd78487-gk7lj   1/1     Running   0          3s    10.244.2.24    ip-172-31-6-144    <none>           <none>
s2-mem-144-769fd78487-rldlw   1/1     Running   0          3s    10.244.2.23    ip-172-31-6-144    <none>           <none>
