NAME                          READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s2-cpu-245-846fcd67f4-mdzwd   1/1     Running   0          61s   10.244.0.17    ip-172-31-1-245    <none>           <none>
s2-cpu-245-846fcd67f4-nmp8c   1/1     Running   0          61s   10.244.0.16    ip-172-31-1-245    <none>           <none>
s2-mem-144-769fd78487-2q6t8   1/1     Running   0          49s   10.244.0.20    ip-172-31-1-245    <none>           <none>
s2-mem-144-769fd78487-9m9ms   1/1     Running   0          49s   10.244.0.19    ip-172-31-1-245    <none>           <none>
s2-mem-39-6c9ff4fc6d-hxtf6    1/1     Running   0          49s   10.244.0.21    ip-172-31-1-245    <none>           <none>
s2-cpu-198-7f87654f6f-h6ptm   1/1     Running   0          60s   10.244.5.164   ip-172-31-16-198   <none>           <none>
s2-cpu-198-7f87654f6f-lcwgl   1/1     Running   0          60s   10.244.5.165   ip-172-31-16-198   <none>           <none>
s2-cpu-34-6694c57846-tccxt    1/1     Running   0          59s   10.244.7.162   ip-172-31-19-34    <none>           <none>
s2-cpu-34-6694c57846-vwt25    1/1     Running   0          59s   10.244.7.161   ip-172-31-19-34    <none>           <none>
s2-mem-146-7ff7c4f86f-k8j8g   1/1     Running   0          49s   10.244.7.165   ip-172-31-19-34    <none>           <none>
s2-mem-146-7ff7c4f86f-zw7m5   1/1     Running   0          49s   10.244.7.164   ip-172-31-19-34    <none>           <none>
s2-mem-39-6c9ff4fc6d-zwjjp    1/1     Running   0          49s   10.244.7.163   ip-172-31-19-34    <none>           <none>
