NAME                          READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s2-cpu-245-846fcd67f4-2l99j   1/1     Running   0          10s   10.244.0.193   ip-172-31-1-245    <none>           <none>
s2-cpu-245-846fcd67f4-rkmlv   1/1     Running   0          10s   10.244.0.194   ip-172-31-1-245    <none>           <none>
s2-cpu-198-7f87654f6f-c4grh   1/1     Running   0          8s    10.244.5.46    ip-172-31-16-198   <none>           <none>
s2-cpu-198-7f87654f6f-rnvwr   1/1     Running   0          8s    10.244.5.47    ip-172-31-16-198   <none>           <none>
s2-cpu-34-6694c57846-gkk5t    1/1     Running   0          7s    10.244.7.19    ip-172-31-19-34    <none>           <none>
s2-cpu-34-6694c57846-x97hz    1/1     Running   0          7s    10.244.7.18    ip-172-31-19-34    <none>           <none>
s2-mem-39-6c9ff4fc6d-78cn8    1/1     Running   0          6s    10.244.1.119   ip-172-31-3-39     <none>           <none>
s2-mem-39-6c9ff4fc6d-hdcdp    1/1     Running   0          6s    10.244.1.118   ip-172-31-3-39     <none>           <none>
s2-mem-146-7ff7c4f86f-6xjh9   1/1     Running   0          4s    10.244.4.174   ip-172-31-31-146   <none>           <none>
s2-mem-146-7ff7c4f86f-jqlpz   1/1     Running   0          4s    10.244.4.175   ip-172-31-31-146   <none>           <none>
s2-mem-144-769fd78487-7xwft   1/1     Running   0          2s    10.244.2.230   ip-172-31-6-144    <none>           <none>
s2-mem-144-769fd78487-c7b8t   1/1     Running   0          2s    10.244.2.231   ip-172-31-6-144    <none>           <none>
