NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s3-cpu-34-848456d98d-bs7hv      1/1     Running   0          49s   10.244.0.101   ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-6m5s8   1/1     Running   0          69s   10.244.0.99    ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-xxqfp   1/1     Running   0          68s   10.244.0.100   ip-172-31-1-245    <none>           <none>
s3-cpu-34-848456d98d-jsvlx      1/1     Running   0          49s   10.244.5.38    ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-f8m4b    1/1     Running   0          67s   10.244.5.37    ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-j4ccq    1/1     Running   0          67s   10.244.5.36    ip-172-31-16-198   <none>           <none>
s3-cpu-39-694f845c9f-kvbtt      1/1     Running   0          65s   10.244.1.242   ip-172-31-3-39     <none>           <none>
s3-cpu-39-694f845c9f-tvx2f      1/1     Running   0          65s   10.244.1.243   ip-172-31-3-39     <none>           <none>
s3-full-146-5bdc7c699-6dbgp     1/1     Running   0          64s   10.244.4.26    ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-w5b5w     1/1     Running   0          64s   10.244.4.27    ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-2qn7h    1/1     Running   0          62s   10.244.2.253   ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-6gvfn    1/1     Running   0          62s   10.244.2.254   ip-172-31-6-144    <none>           <none>
