NAME                            READY   STATUS    RESTARTS   AGE   IP            NODE               NOMINATED NODE   READINESS GATES
s3-cpu-34-848456d98d-ppnzd      1/1     Running   0          32s   10.244.7.70   ip-172-31-19-34    <none>           <none>
s3-cpu-34-848456d98d-z28bq      1/1     Running   0          32s   10.244.7.71   ip-172-31-19-34    <none>           <none>
s3-under-198-c45f6ffd9-mt65t    1/1     Running   0          25s   10.244.7.72   ip-172-31-19-34    <none>           <none>
s3-cpu-39-694f845c9f-5n29d      1/1     Running   0          31s   10.244.1.16   ip-172-31-3-39     <none>           <none>
s3-cpu-39-694f845c9f-99ltf      1/1     Running   0          31s   10.244.1.17   ip-172-31-3-39     <none>           <none>
s3-under-198-c45f6ffd9-vjspg    1/1     Running   0          25s   10.244.1.18   ip-172-31-3-39     <none>           <none>
s3-full-146-5bdc7c699-bkbg8     1/1     Running   0          29s   10.244.4.62   ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-vpqvw     1/1     Running   0          29s   10.244.4.63   ip-172-31-31-146   <none>           <none>
s3-under-245-574b8b4b46-wd7m6   1/1     Running   0          25s   10.244.4.65   ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-5x7rs    1/1     Running   0          28s   10.244.2.31   ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-gg5wd    1/1     Running   0          28s   10.244.2.30   ip-172-31-6-144    <none>           <none>
s3-under-245-574b8b4b46-r44w6   1/1     Running   0          25s   10.244.2.32   ip-172-31-6-144    <none>           <none>
