NAME                            READY   STATUS    RESTARTS   AGE   IP            NODE               NOMINATED NODE   READINESS GATES
s3-cpu-34-848456d98d-6n99h      1/1     Running   0          55s   10.244.7.86   ip-172-31-19-34    <none>           <none>
s3-cpu-34-848456d98d-b2k5x      1/1     Running   0          55s   10.244.7.87   ip-172-31-19-34    <none>           <none>
s3-under-245-574b8b4b46-j785w   1/1     Running   0          48s   10.244.7.88   ip-172-31-19-34    <none>           <none>
s3-cpu-39-694f845c9f-v59fm      1/1     Running   0          54s   10.244.1.32   ip-172-31-3-39     <none>           <none>
s3-cpu-39-694f845c9f-zmxw5      1/1     Running   0          54s   10.244.1.33   ip-172-31-3-39     <none>           <none>
s3-under-245-574b8b4b46-77vgt   1/1     Running   0          49s   10.244.1.34   ip-172-31-3-39     <none>           <none>
s3-full-146-5bdc7c699-28zwl     1/1     Running   0          53s   10.244.4.96   ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-ncw2f     1/1     Running   0          53s   10.244.4.97   ip-172-31-31-146   <none>           <none>
s3-under-198-c45f6ffd9-n6445    1/1     Running   0          49s   10.244.4.99   ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-62j8x    1/1     Running   0          52s   10.244.2.51   ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-k8m5z    1/1     Running   0          52s   10.244.2.52   ip-172-31-6-144    <none>           <none>
s3-under-198-c45f6ffd9-5skqk    1/1     Running   0          49s   10.244.2.53   ip-172-31-6-144    <none>           <none>
