NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s3-under-245-574b8b4b46-5p9jb   1/1     Running   0          8s    10.244.0.23    ip-172-31-1-245    <none>           <none>
s3-under-245-574b8b4b46-bwd98   1/1     Running   0          8s    10.244.0.24    ip-172-31-1-245    <none>           <none>
s3-under-198-c45f6ffd9-bclb6    1/1     Running   0          6s    10.244.5.167   ip-172-31-16-198   <none>           <none>
s3-under-198-c45f6ffd9-trskv    1/1     Running   0          6s    10.244.5.166   ip-172-31-16-198   <none>           <none>
s3-cpu-34-848456d98d-2tbfq      1/1     Running   0          5s    10.244.7.166   ip-172-31-19-34    <none>           <none>
s3-cpu-34-848456d98d-85cjn      1/1     Running   0          5s    10.244.7.167   ip-172-31-19-34    <none>           <none>
s3-cpu-39-694f845c9f-qggvv      1/1     Running   0          4s    10.244.1.108   ip-172-31-3-39     <none>           <none>
s3-cpu-39-694f845c9f-sbhn2      1/1     Running   0          4s    10.244.1.107   ip-172-31-3-39     <none>           <none>
s3-full-146-5bdc7c699-ltpxd     1/1     Running   0          3s    10.244.4.165   ip-172-31-31-146   <none>           <none>
s3-full-146-5bdc7c699-mmbmm     1/1     Running   0          3s    10.244.4.166   ip-172-31-31-146   <none>           <none>
s3-full-144-569b4d6597-27mgn    1/1     Running   0          2s    10.244.2.77    ip-172-31-6-144    <none>           <none>
s3-full-144-569b4d6597-h9p9z    1/1     Running   0          2s    10.244.2.76    ip-172-31-6-144    <none>           <none>
