NAME                            READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s4-cpu-245-cccd9967b-94sn6      1/1     Running   0          8s    10.244.0.193   ip-172-31-1-245    <none>           <none>
s4-cpu-245-cccd9967b-l949d      1/1     Running   0          8s    10.244.0.192   ip-172-31-1-245    <none>           <none>
s4-cpu-245-cccd9967b-tznm9      1/1     Running   0          8s    10.244.0.194   ip-172-31-1-245    <none>           <none>
s4-cpu-198-c8bbfc967-4q8zw      1/1     Running   0          7s    10.244.5.236   ip-172-31-16-198   <none>           <none>
s4-cpu-198-c8bbfc967-k8l8d      1/1     Running   0          7s    10.244.5.237   ip-172-31-16-198   <none>           <none>
s4-cpu-198-c8bbfc967-l4tgm      1/1     Running   0          7s    10.244.5.235   ip-172-31-16-198   <none>           <none>
s4-mem-34-67b57f4875-xd2n6      1/1     Running   0          6s    10.244.7.70    ip-172-31-19-34    <none>           <none>
s4-mem-34-67b57f4875-d44wd      1/1     Running   0          6s    10.244.7.69    ip-172-31-19-34    <none>           <none>
s4-mem-34-67b57f4875-m74kd      1/1     Running   0          6s    10.244.7.68    ip-172-31-19-34    <none>           <none>
s4-mem-39-5d5899dbd4-5zkw9      1/1     Running   0          4s    10.244.1.78    ip-172-31-3-39     <none>           <none>
s4-mem-39-5d5899dbd4-gprcw      1/1     Running   0          4s    10.244.1.79    ip-172-31-3-39     <none>           <none>
s4-mem-39-5d5899dbd4-hz692      1/1     Running   0          4s    10.244.1.77    ip-172-31-3-39     <none>           <none>
s4-jumbo-146-6b466bd845-68hkx   1/1     Running   0          2s    10.244.4.7     ip-172-31-31-146   <none>           <none>
