NAME                          READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s2-cpu-245-846fcd67f4-fv5vl   1/1     Running   0          60s   10.244.0.164   ip-172-31-1-245    <none>           <none>
s2-cpu-245-846fcd67f4-mssln   1/1     Running   0          60s   10.244.0.163   ip-172-31-1-245    <none>           <none>
s2-mem-144-769fd78487-b2dfc   1/1     Running   0          47s   10.244.0.167   ip-172-31-1-245    <none>           <none>
s2-mem-144-769fd78487-pq8pl   1/1     Running   0          48s   10.244.0.166   ip-172-31-1-245    <none>           <none>
s2-mem-146-7ff7c4f86f-jk6st   1/1     Running   0          47s   10.244.0.168   ip-172-31-1-245    <none>           <none>
s2-cpu-198-7f87654f6f-fkrct   1/1     Running   0          59s   10.244.5.210   ip-172-31-16-198   <none>           <none>
s2-cpu-198-7f87654f6f-ldbq8   1/1     Running   0          59s   10.244.5.209   ip-172-31-16-198   <none>           <none>
s2-mem-146-7ff7c4f86f-57bqw   1/1     Running   0          47s   10.244.5.211   ip-172-31-16-198   <none>           <none>
s2-mem-39-6c9ff4fc6d-85fw7    1/1     Running   0          47s   10.244.5.212   ip-172-31-16-198   <none>           <none>
s2-mem-39-6c9ff4fc6d-97cvr    1/1     Running   0          47s   10.244.5.213   ip-172-31-16-198   <none>           <none>
s2-cpu-34-6694c57846-2db22    1/1     Running   0          58s   10.244.7.42    ip-172-31-19-34    <none>           <none>
s2-cpu-34-6694c57846-v2wlr    1/1     Running   0          58s   10.244.7.43    ip-172-31-19-34    <none>           <none>
