NAME                          READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s2-cpu-245-846fcd67f4-rh6pd   1/1     Running   0          10s   10.244.0.46    ip-172-31-1-245    <none>           <none>
s2-cpu-245-846fcd67f4-zxrwf   1/1     Running   0          10s   10.244.0.45    ip-172-31-1-245    <none>           <none>
s2-cpu-198-7f87654f6f-9f2gl   1/1     Running   0          9s    10.244.5.46    ip-172-31-16-198   <none>           <none>
s2-cpu-198-7f87654f6f-k6lfn   1/1     Running   0          9s    10.244.5.47    ip-172-31-16-198   <none>           <none>
s2-cpu-34-6694c57846-7m27t    1/1     Running   0          7s    10.244.7.117   ip-172-31-19-34    <none>           <none>
s2-cpu-34-6694c57846-jr2rt    1/1     Running   0          7s    10.244.7.116   ip-172-31-19-34    <none>           <none>
s2-mem-39-6c9ff4fc6d-nnwrm    1/1     Running   0          6s    10.244.1.164   ip-172-31-3-39     <none>           <none>
s2-mem-39-6c9ff4fc6d-tpm7n    1/1     Running   0          6s    10.244.1.165   ip-172-31-3-39     <none>           <none>
s2-mem-146-7ff7c4f86f-kc7pz   1/1     Running   0          4s    10.244.4.33    ip-172-31-31-146   <none>           <none>
s2-mem-146-7ff7c4f86f-tqckm   1/1     Running   0          4s    10.244.4.34    ip-172-31-31-146   <none>           <none>
s2-mem-144-769fd78487-g8w5z   1/1     Running   0          2s    10.244.2.151   ip-172-31-6-144    <none>           <none>
s2-mem-144-769fd78487-n88xn   1/1     Running   0          2s    10.244.2.150   ip-172-31-6-144    <none>           <none>
