NAME                           READY   STATUS    RESTARTS   AGE   IP             NODE               NOMINATED NODE   READINESS GATES
s1-fill-245-7659c95b6c-6kdl7   1/1     Running   0          7s    10.244.0.71    ip-172-31-1-245    <none>           <none>
s1-fill-245-7659c95b6c-fssnr   1/1     Running   0          7s    10.244.0.72    ip-172-31-1-245    <none>           <none>
s1-fill-198-6f65649bd4-bhzh5   1/1     Running   0          6s    10.244.5.231   ip-172-31-16-198   <none>           <none>
s1-fill-198-6f65649bd4-nqmvb   1/1     Running   0          6s    10.244.5.232   ip-172-31-16-198   <none>           <none>
s1-fill-34-65d8fd768c-hdcg7    1/1     Running   0          5s    10.244.7.222   ip-172-31-19-34    <none>           <none>
s1-fill-34-65d8fd768c-twplt    1/1     Running   0          5s    10.244.7.223   ip-172-31-19-34    <none>           <none>
s1-fill-39-7d47c6f544-dp588    1/1     Running   0          4s    10.244.1.62    ip-172-31-3-39     <none>           <none>
s1-fill-39-7d47c6f544-vdjpn    1/1     Running   0          4s    10.244.1.63    ip-172-31-3-39     <none>           <none>
s1-fill-146-f9dd78d6c-6jnrm    1/1     Running   0          3s    10.244.4.136   ip-172-31-31-146   <none>           <none>
s1-fill-146-f9dd78d6c-6vldn    1/1     Running   0          3s    10.244.4.135   ip-172-31-31-146   <none>           <none>
s1-fill-144-75b6ddcffc-lrhff   1/1     Running   0          1s    10.244.2.206   ip-172-31-6-144    <none>           <none>
s1-fill-144-75b6ddcffc-mmsl8   1/1     Running   0          1s    10.244.2.207   ip-172-31-6-144    <none>           <none>
