NAME                              READY   STATUS    RESTARTS   AGE   IP             NODE       NOMINATED NODE   READINESS GATES
workload-api-5c9bf65f57-pxvlv     1/1     Running   0          18s   10.244.1.100   worker-1   <none>           <none>
workload-cpu-1-6d58864d46-2nx84   1/1     Running   0          78s   10.244.1.98    worker-1   <none>           <none>
workload-cpu-1-6d58864d46-xl998   1/1     Running   0          78s   10.244.1.99    worker-1   <none>           <none>
workload-cpu-2-679766cbf5-7hppw   1/1     Running   0          75s   10.244.2.100   worker-2   <none>           <none>
workload-cpu-2-679766cbf5-vrb7x   1/1     Running   0          75s   10.244.2.99    worker-2   <none>           <none>
workload-cpu-3-7c59447b64-52pv5   1/1     Running   0          72s   10.244.3.61    worker-3   <none>           <none>
workload-cpu-3-7c59447b64-pmbpf   1/1     Running   0          72s   10.244.3.60    worker-3   <none>           <none>
workload-mem-4-9bf84d8bb-5m7kx    1/1     Running   0          68s   10.244.4.63    worker-4   <none>           <none>
workload-mem-4-9bf84d8bb-72gnq    1/1     Running   0          68s   10.244.4.62    worker-4   <none>           <none>
workload-mem-5-859c899f5f-6bwm2   1/1     Running   0          64s   10.244.5.59    worker-5   <none>           <none>
workload-mem-5-859c899f5f-csz6s   1/1     Running   0          64s   10.244.5.60    worker-5   <none>           <none>
workload-mem-6-6649876fdf-82g2k   1/1     Running   0          58s   10.244.6.28    worker-6   <none>           <none>
